,Latitude,Longitude,Month,Day,DOW,Thefts
0,43.6591625171,-79.3810999114,1,11,Sunday,1
0,43.6591625171,-79.3810999114,2,22,Friday,1
0,43.6591625171,-79.3810999114,3,12,Thursday,1
0,43.6591625171,-79.3810999114,3,18,Tuesday,1
0,43.6591625171,-79.3810999114,3,21,Saturday,1
0,43.6591625171,-79.3810999114,4,1,Wednesday,1
0,43.6591625171,-79.3810999114,4,5,Sunday,1
0,43.6591625171,-79.3810999114,4,8,Tuesday,1
0,43.6591625171,-79.3810999114,4,10,Monday,1
0,43.6591625171,-79.3810999114,4,16,Saturday,1
0,43.6591625171,-79.3810999114,4,17,Friday,1
0,43.6591625171,-79.3810999114,4,19,Saturday,1
0,43.6591625171,-79.3810999114,4,19,Thursday,1
0,43.6591625171,-79.3810999114,4,23,Sunday,2
0,43.6591625171,-79.3810999114,4,26,Friday,1
0,43.6591625171,-79.3810999114,4,27,Wednesday,1
0,43.6591625171,-79.3810999114,4,28,Monday,1
0,43.6591625171,-79.3810999114,4,30,Saturday,1
0,43.6591625171,-79.3810999114,5,8,Monday,1
0,43.6591625171,-79.3810999114,5,12,Monday,1
0,43.6591625171,-79.3810999114,5,15,Monday,1
0,43.6591625171,-79.3810999114,5,16,Thursday,1
0,43.6591625171,-79.3810999114,5,16,Wednesday,1
0,43.6591625171,-79.3810999114,5,19,Sunday,2
0,43.6591625171,-79.3810999114,5,20,Friday,1
0,43.6591625171,-79.3810999114,5,22,Monday,2
0,43.6591625171,-79.3810999114,6,3,Friday,1
0,43.6591625171,-79.3810999114,6,5,Friday,1
0,43.6591625171,-79.3810999114,6,5,Monday,1
0,43.6591625171,-79.3810999114,6,6,Saturday,1
0,43.6591625171,-79.3810999114,6,9,Saturday,3
0,43.6591625171,-79.3810999114,6,9,Thursday,1
0,43.6591625171,-79.3810999114,6,9,Tuesday,1
0,43.6591625171,-79.3810999114,6,11,Monday,2
0,43.6591625171,-79.3810999114,6,12,Friday,1
0,43.6591625171,-79.3810999114,6,15,Friday,1
0,43.6591625171,-79.3810999114,6,20,Monday,1
0,43.6591625171,-79.3810999114,6,21,Wednesday,1
0,43.6591625171,-79.3810999114,6,23,Tuesday,1
0,43.6591625171,-79.3810999114,6,28,Thursday,1
0,43.6591625171,-79.3810999114,7,2,Tuesday,2
0,43.6591625171,-79.3810999114,7,4,Friday,1
0,43.6591625171,-79.3810999114,7,4,Tuesday,1
0,43.6591625171,-79.3810999114,7,6,Monday,2
0,43.6591625171,-79.3810999114,7,8,Monday,5
0,43.6591625171,-79.3810999114,7,12,Sunday,1
0,43.6591625171,-79.3810999114,7,15,Tuesday,1
0,43.6591625171,-79.3810999114,7,16,Thursday,1
0,43.6591625171,-79.3810999114,7,17,Wednesday,1
0,43.6591625171,-79.3810999114,7,19,Sunday,1
0,43.6591625171,-79.3810999114,7,20,Saturday,1
0,43.6591625171,-79.3810999114,7,22,Saturday,1
0,43.6591625171,-79.3810999114,7,27,Wednesday,1
0,43.6591625171,-79.3810999114,7,29,Monday,1
0,43.6591625171,-79.3810999114,7,29,Wednesday,1
0,43.6591625171,-79.3810999114,7,31,Wednesday,1
0,43.6591625171,-79.3810999114,8,1,Saturday,1
0,43.6591625171,-79.3810999114,8,1,Wednesday,1
0,43.6591625171,-79.3810999114,8,4,Monday,1
0,43.6591625171,-79.3810999114,8,7,Tuesday,1
0,43.6591625171,-79.3810999114,8,8,Tuesday,1
0,43.6591625171,-79.3810999114,8,10,Sunday,1
0,43.6591625171,-79.3810999114,8,14,Friday,2
0,43.6591625171,-79.3810999114,8,21,Monday,1
0,43.6591625171,-79.3810999114,8,22,Thursday,2
0,43.6591625171,-79.3810999114,8,29,Wednesday,1
0,43.6591625171,-79.3810999114,8,31,Saturday,1
0,43.6591625171,-79.3810999114,9,2,Saturday,1
0,43.6591625171,-79.3810999114,9,7,Sunday,1
0,43.6591625171,-79.3810999114,9,7,Wednesday,1
0,43.6591625171,-79.3810999114,9,10,Tuesday,1
0,43.6591625171,-79.3810999114,9,18,Thursday,2
0,43.6591625171,-79.3810999114,9,21,Monday,1
0,43.6591625171,-79.3810999114,9,22,Saturday,1
0,43.6591625171,-79.3810999114,9,26,Tuesday,1
0,43.6591625171,-79.3810999114,9,30,Monday,1
0,43.6591625171,-79.3810999114,10,1,Tuesday,1
0,43.6591625171,-79.3810999114,10,3,Tuesday,1
0,43.6591625171,-79.3810999114,10,4,Friday,2
0,43.6591625171,-79.3810999114,10,6,Monday,1
0,43.6591625171,-79.3810999114,10,6,Tuesday,1
0,43.6591625171,-79.3810999114,10,14,Sunday,1
0,43.6591625171,-79.3810999114,10,19,Wednesday,1
0,43.6591625171,-79.3810999114,10,20,Friday,1
0,43.6591625171,-79.3810999114,10,27,Sunday,1
0,43.6591625171,-79.3810999114,11,20,Monday,1
0,43.6591625171,-79.3810999114,12,2,Friday,1
0,43.6591625171,-79.3810999114,12,2,Monday,1
0,43.6591625171,-79.3810999114,12,7,Monday,2
0,43.6591625171,-79.3810999114,12,9,Monday,1
0,43.6591625171,-79.3810999114,12,16,Wednesday,1
0,43.6591625171,-79.3810999114,12,26,Monday,1
0,43.6591625171,-79.3810999114,12,30,Tuesday,1
1,43.6620573991,-79.4278708182,2,26,Sunday,1
1,43.6620573991,-79.4278708182,4,3,Tuesday,1
1,43.6620573991,-79.4278708182,4,16,Saturday,1
1,43.6620573991,-79.4278708182,5,20,Sunday,1
1,43.6620573991,-79.4278708182,6,9,Friday,1
1,43.6620573991,-79.4278708182,6,20,Wednesday,1
1,43.6620573991,-79.4278708182,6,26,Friday,1
1,43.6620573991,-79.4278708182,7,10,Thursday,1
1,43.6620573991,-79.4278708182,7,19,Thursday,1
1,43.6620573991,-79.4278708182,8,8,Saturday,1
1,43.6620573991,-79.4278708182,8,15,Wednesday,1
1,43.6620573991,-79.4278708182,9,9,Monday,1
1,43.6620573991,-79.4278708182,9,25,Thursday,1
1,43.6620573991,-79.4278708182,10,3,Thursday,2
1,43.6620573991,-79.4278708182,10,10,Monday,1
1,43.6620573991,-79.4278708182,11,2,Saturday,1
1,43.6620573991,-79.4278708182,11,12,Saturday,1
1,43.6620573991,-79.4278708182,11,21,Thursday,1
2,43.6620573991,-79.4278708182,2,26,Sunday,1
2,43.6620573991,-79.4278708182,4,3,Tuesday,1
2,43.6620573991,-79.4278708182,4,16,Saturday,1
2,43.6620573991,-79.4278708182,5,20,Sunday,1
2,43.6620573991,-79.4278708182,6,9,Friday,1
2,43.6620573991,-79.4278708182,6,20,Wednesday,1
2,43.6620573991,-79.4278708182,6,26,Friday,1
2,43.6620573991,-79.4278708182,7,10,Thursday,1
2,43.6620573991,-79.4278708182,7,19,Thursday,1
2,43.6620573991,-79.4278708182,8,8,Saturday,1
2,43.6620573991,-79.4278708182,8,15,Wednesday,1
2,43.6620573991,-79.4278708182,9,9,Monday,1
2,43.6620573991,-79.4278708182,9,25,Thursday,1
2,43.6620573991,-79.4278708182,10,3,Thursday,2
2,43.6620573991,-79.4278708182,10,10,Monday,1
2,43.6620573991,-79.4278708182,11,2,Saturday,1
2,43.6620573991,-79.4278708182,11,12,Saturday,1
2,43.6620573991,-79.4278708182,11,21,Thursday,1
3,43.7058827895,-79.3984239072,3,9,Friday,1
3,43.7058827895,-79.3984239072,5,6,Monday,1
3,43.7058827895,-79.3984239072,5,23,Friday,1
3,43.7058827895,-79.3984239072,5,27,Monday,1
3,43.7058827895,-79.3984239072,6,20,Friday,1
3,43.7058827895,-79.3984239072,7,5,Tuesday,1
3,43.7058827895,-79.3984239072,7,17,Friday,1
3,43.7058827895,-79.3984239072,7,26,Sunday,1
3,43.7058827895,-79.3984239072,8,9,Sunday,1
3,43.7058827895,-79.3984239072,8,16,Sunday,1
3,43.7058827895,-79.3984239072,8,17,Sunday,1
3,43.7058827895,-79.3984239072,8,29,Tuesday,1
3,43.7058827895,-79.3984239072,8,30,Sunday,1
3,43.7058827895,-79.3984239072,9,19,Saturday,1
3,43.7058827895,-79.3984239072,10,1,Sunday,1
3,43.7058827895,-79.3984239072,11,8,Saturday,1
3,43.7058827895,-79.3984239072,11,23,Monday,3
4,43.6509286639,-79.397837765,2,4,Monday,1
4,43.6509286639,-79.397837765,2,22,Monday,1
4,43.6509286639,-79.397837765,2,28,Tuesday,1
4,43.6509286639,-79.397837765,3,3,Tuesday,1
4,43.6509286639,-79.397837765,4,3,Monday,1
